average_price,difference_actual_pred_price,postcode_sector
38.98,-8.5100002,ML6 7U
38.98,-7.8800001,ML6 8Q
38.98,-8.5100002,ML6 9P
38.98,-8.3400002,ML7 4E
38.98,-8.3400002,ML7 5P
38.98,-8.3400002,ML7 9A
38.98,-7.8800001,ML8 4N
38.98,-8.3400002,ML8 5H
38.98,-7.8800001,ML9 1A
38.98,-7.8800001,ML9 2D
38.98,-8.5100002,ML9 3D
38.98,-7.6900001,PA1 1L
38.98,-7.6900001,PA1 2S
38.98,-7.6900001,PA1 3B
38.98,-7.6900001,PA10 2
38.98,-8.3400002,PA11 3
38.98,-8.5100002,PA12 4
38.98,-8.3400002,PA13 4
38.98,-7.8800001,PA14 5
38.98,-7.8800001,PA14 6
38.98,-7.8800001,PA15 1
38.98,-7.8800001,PA15 2
38.98,-7.8800001,PA15 3
38.98,-7.8800001,PA15 4
38.98,-7.8800001,PA16 0
38.98,-7.8800001,PA16 7
38.98,-7.8800001,PA16 8
38.98,-7.8800001,PA16 9
38.98,-8.3400002,PA17 5
38.98,-8.3400002,PA18 6
38.98,-7.8800001,PA19 1
38.98,-7.6900001,PA2 0D
38.98,-7.6900001,PA2 6L
38.98,-7.6900001,PA2 7A
38.98,-8.5100002,PA2 8U
38.98,-7.6900001,PA2 9L
71.730003,13.16,PA20 0
71.730003,13.16,PA20 2
71.730003,13.16,PA20 9
71.730003,13.19,PA21 2
71.730003,13.19,PA22 3
71.730003,13.16,PA23 7
71.730003,13.16,PA23 8
71.730003,20.635,PA24 8
71.730003,20.635,PA25 8
71.730003,20.635,PA26 8
71.730003,13.19,PA27 8
71.730003,13.16,PA28 6
71.730003,13.19,PA29 6
38.98,-7.6900001,PA3 1B
38.98,-7.6900001,PA3 2J
38.98,-7.6900001,PA3 3L
38.98,-7.6900001,PA3 4B
38.98,-7.6900001,PA3 9T
71.730003,13.19,PA30 8
71.730003,13.19,PA31 8
71.730003,13.19,PA31 9
71.730003,13.19,PA32 8
71.730003,13.19,PA33 1
71.730003,13.19,PA34 4
71.730003,13.16,PA34 5
71.730003,13.16,PA34 9
71.730003,13.19,PA35 1
71.730003,13.19,PA36 4
71.730003,13.19,PA37 1
71.730003,20.635,PA38 4
38.98,-7.6900001,PA4 0J
38.98,-7.6900001,PA4 4A
38.98,-7.6900001,PA4 8T
38.98,-7.6900001,PA4 9A
71.730003,13.19,PA41 7
71.730003,13.19,PA42 7
71.730003,13.19,PA43 7
71.730003,13.19,PA44 7
71.730003,13.19,PA45 7
71.730003,13.19,PA46 7
71.730003,13.19,PA47 7
71.730003,13.19,PA48 7
71.730003,13.19,PA49 7
38.98,-7.6900001,PA5 0A
38.98,-7.6900001,PA5 8E
38.98,-7.6900001,PA5 9H
38.98,-8.3400002,PA6 7L
71.730003,13.19,PA60 7
71.730003,13.19,PA61 7
71.730003,13.19,PA62 6
71.730003,13.19,PA63 6
71.730003,13.19,PA64 6
71.730003,13.19,PA65 6
71.730003,13.19,PA66 6
71.730003,13.19,PA67 6
71.730003,13.19,PA68 6
71.730003,13.19,PA69 6
38.98,-7.8800001,PA7 5Q
38.98,-7.8800001,PA7 9A
71.730003,13.19,PA70 6
71.730003,13.19,PA71 6
71.730003,13.19,PA72 6
71.730003,13.19,PA73 6
71.730003,13.19,PA74 6
71.730003,13.19,PA75 6
71.730003,13.19,PA76 6
71.730003,13.19,PA77 6
71.730003,13.19,PA78 6
38.98,-7.8800001,PA8 6H
38.98,-7.8800001,PA8 7E
38.98,-7.8800001,PA8 9A
71.730003,13.19,PA80 5
38.98,-8.5100002,PA9 1B
38.98,-7.8800001,PH1 1N
38.98,-7.8800001,PH1 2Q
38.98,-12.12,PH1 3S
38.98,-8.5100002,PH1 4D
38.98,-7.8800001,PH1 5J
38.98,-9.9099998,PH10 6
38.98,-12.12,PH10 7
38.98,-8.5100002,PH11 8
38.98,-8.5100002,PH12 8
38.98,-8.5100002,PH13 9
38.98,-8.5100002,PH14 9
62,-7.2800002,PH15 2
38.98,-12.12,PH16 5
38.98,-19.559999,PH17 2
38.98,-19.559999,PH18 5
71.730003,13.19,PH19 1
38.98,-8.5100002,PH2 0R
38.98,-8.3400002,PH2 6L
38.98,-8.5100002,PH2 7Q
38.98,-7.8800001,PH2 8D
38.98,-8.5100002,PH2 9Q
71.730003,13.19,PH20 1
71.730003,13.19,PH21 1
71.730003,22.844999,PH22 1
71.730003,20.635,PH23 3
71.730003,20.635,PH24 3
71.730003,20.635,PH25 3
71.730003,20.635,PH26 3
71.730003,20.635,PH26 9
38.98,-8.5100002,PH3 1J
71.730003,13.19,PH30 4
71.730003,20.635,PH31 4
71.730003,20.635,PH32 4
71.730003,24.875,PH33 6
71.730003,24.875,PH33 7
71.730003,24.24,PH34 4
71.730003,13.19,PH35 4
71.730003,13.19,PH36 4
71.730003,13.19,PH37 4
71.730003,20.635,PH38 4
71.730003,13.19,PH39 4
38.98,-8.5100002,PH4 1P
71.730003,13.19,PH40 4
81.459999,33.66,PH41 2
71.730003,13.19,PH41 4
71.730003,13.19,PH42 4
71.730003,13.19,PH43 4
71.730003,20.635,PH49 4
38.98,-12.12,PH5 2A
71.730003,20.635,PH50 4
38.98,-12.12,PH6 2N
38.98,-9.9099998,PH7 3L
38.98,-9.9099998,PH7 4A
38.98,-12.12,PH8 0E
38.98,-12.12,PH9 0N
38.98,-7.8800001,TD1 1E
38.98,-8.5100002,TD1 2S
38.98,-7.8800001,TD1 3S
38.98,-12.12,TD10 6
38.98,-8.5100002,TD11 3
38.98,-8.5100002,TD12 4
38.98,-12.12,TD13 5
38.98,-8.3400002,TD14 5
38.98,-8.5100002,TD15 1
38.98,-8.5100002,TD2 6R
38.98,-8.5100002,TD3 6J
38.98,-8.5100002,TD4 6D
38.98,-9.9099998,TD5 7H
38.98,-12.12,TD5 8Q
38.98,-8.5100002,TD6 0D
38.98,-8.5100002,TD6 6S
38.98,-8.5100002,TD6 9D
38.98,-8.3400002,TD7 4L
38.98,-8.3400002,TD7 5B
38.98,-8.3400002,TD8 6J
38.98,-8.3400002,TD8 9A
38.98,-12.12,TD9 0S
38.98,-7.8800001,TD9 1A
38.98,-7.8800001,TD9 7H
38.98,-7.8800001,TD9 8L
38.98,-8.5100002,TD9 9T
71.730003,13.19,ZE1 0U
71.730003,13.16,ZE1 9S
71.730003,13.19,ZE2 9D
71.730003,13.19,ZE3 9J
