average_price,difference_actual_pred_price,postcode_sector
38.98,-7.6900001,EH12 6
59.919998,13.26,EH12 7
59.919998,13.26,EH12 8
38.98,-7.6900001,EH12 9
38.98,-7.6900001,EH13 0
38.98,-7.6900001,EH13 9
59.919998,13.26,EH14 1
59.919998,13.26,EH14 2
38.98,-7.6900001,EH14 3
38.98,-7.6900001,EH14 4
38.98,-7.6900001,EH14 5
38.98,-8.5100002,EH14 6
38.98,-8.5100002,EH14 7
59.919998,13.26,EH14 9
38.98,-7.6900001,EH15 1
59.919998,13.26,EH15 2
38.98,-7.6900001,EH15 3
38.98,-7.6900001,EH15 9
59.919998,13.26,EH16 4
59.919998,13.26,EH16 5
38.98,-7.6900001,EH16 6
59.919998,13.26,EH16 9
59.919998,13.26,EH17 7
38.98,-7.6900001,EH17 8
59.919998,12.44,EH18 1
38.98,-7.8800001,EH19 2
38.98,-7.8800001,EH19 3
38.98,-7.6900001,EH2 1G
59.919998,13.26,EH2 2E
38.98,-7.6900001,EH2 3H
38.98,-7.6900001,EH2 4A
59.919998,12.61,EH20 9
59.919998,13.26,EH21 6
59.919998,13.26,EH21 7
59.919998,12.44,EH21 8
59.919998,13.07,EH22 1
38.98,-7.8800001,EH22 2
59.919998,13.07,EH22 3
38.98,-7.8800001,EH22 4
59.919998,13.07,EH22 5
38.98,-7.8800001,EH23 4
38.98,-8.5100002,EH24 9
59.919998,12.61,EH25 9
38.98,-7.8800001,EH26 0
38.98,-7.8800001,EH26 6
59.919998,13.07,EH26 8
38.98,-7.8800001,EH26 9
38.98,-8.5100002,EH27 8
38.98,-7.8800001,EH28 8
38.98,-7.8800001,EH28 9
59.919998,12.61,EH29 9
59.919998,13.26,EH3 5L
38.98,-7.6900001,EH3 6D
38.98,-7.6900001,EH3 7T
38.98,-7.6900001,EH3 8D
59.919998,13.26,EH3 9J
38.98,-8.3400002,EH30 9
38.98,-8.5100002,EH31 2
59.919998,12.61,EH32 0
59.919998,13.07,EH32 9
59.919998,12.44,EH33 1
59.919998,13.07,EH33 2
38.98,-8.5100002,EH34 5
59.919998,12.44,EH35 5
38.98,-8.5100002,EH36 5
38.98,-8.5100002,EH37 5
38.98,-8.5100002,EH38 5
38.98,-9.9099998,EH39 4
59.919998,12.44,EH39 5
59.919998,11.04,EH39 9
59.919998,13.26,EH4 1J
59.919998,13.26,EH4 2H
59.919998,13.26,EH4 3T
59.919998,13.26,EH4 4E
38.98,-7.6900001,EH4 5L
59.919998,13.26,EH4 6N
59.919998,13.26,EH4 7A
59.919998,13.26,EH4 8D
59.919998,13.26,EH4 9B
59.919998,12.44,EH40 3
38.98,-8.3400002,EH41 3
59.919998,12.61,EH41 4
59.919998,11.04,EH42 1
59.919998,12.44,EH43 6
59.919998,12.61,EH44 6
59.919998,12.61,EH45 8
59.919998,12.61,EH45 9
38.98,-8.5100002,EH46 7
59.919998,13.07,EH47 0
59.919998,13.07,EH47 7
59.919998,13.07,EH47 8
59.919998,12.61,EH47 9
59.919998,13.07,EH48 1
59.919998,13.07,EH48 2
38.98,-7.8800001,EH48 3
59.919998,13.07,EH48 4
59.919998,13.07,EH48 9
38.98,-7.8800001,EH49 6
59.919998,13.07,EH49 7
59.919998,13.26,EH5 1A
38.98,-7.6900001,EH5 2N
59.919998,13.26,EH5 3L
38.98,-7.8800001,EH51 0
59.919998,13.07,EH51 9
59.919998,13.07,EH52 5
59.919998,13.07,EH52 6
59.919998,13.07,EH52 9
59.919998,13.07,EH53 0
59.919998,13.07,EH54 5
38.98,-7.8800001,EH54 6
38.98,-7.8800001,EH54 7
38.98,-7.8800001,EH54 8
38.98,-7.8800001,EH54 9
38.98,-7.8800001,EH55 8
38.98,-7.6900001,EH6 4A
38.98,-7.6900001,EH6 5D
38.98,-7.6900001,EH6 6D
38.98,-7.6900001,EH6 7L
38.98,-7.6900001,EH6 8H
38.98,-7.6900001,EH7 4N
38.98,-7.6900001,EH7 5F
38.98,-7.6900001,EH7 6U
38.98,-7.6900001,EH8 7Q
38.98,-7.6900001,EH8 8E
38.98,-7.6900001,EH8 9N
38.98,-7.6900001,EH9 1R
