Average_price,postcode_sector
59.92,EH4 2H
59.92,EH4 3T
59.92,EH4 4E
38.98,EH4 5L
59.92,EH4 6N
59.92,EH4 7A
59.92,EH4 8D
59.92,EH4 9B
59.92,EH40 3
38.98,EH41 3
59.92,EH41 4
59.92,EH42 1
59.92,EH43 6
59.92,EH44 6
59.92,EH45 8
59.92,EH45 9
38.98,EH46 7
59.92,EH47 0
59.92,EH47 7
59.92,EH47 8
59.92,EH47 9
59.92,EH48 1
59.92,EH48 2
38.98,EH48 3
59.92,EH48 4
59.92,EH48 9
38.98,EH49 6
59.92,EH49 7
59.92,EH5 1A
38.98,EH5 2N
59.92,EH5 3L
38.98,EH51 0
59.92,EH51 9
59.92,EH52 5
59.92,EH52 6
59.92,EH52 9
59.92,EH53 0
59.92,EH54 5
38.98,EH54 6
38.98,EH54 7
38.98,EH54 8
38.98,EH54 9
38.98,EH55 8
38.98,EH6 4A
38.98,EH6 5D
38.98,EH6 6D
38.98,EH6 7L
38.98,EH6 8H
38.98,EH7 4N
38.98,EH7 5F
38.98,EH7 6U
38.98,EH8 7Q
38.98,EH8 8E
38.98,EH8 9N
38.98,EH9 1R
38.98,EH9 2B
38.98,EH9 3H
38.98,EH91 5
38.98,EH95 1
38.98,EH99 1
38.98,FK1 1L
38.98,FK1 2D
38.98,FK1 3H
38.98,FK1 4L
38.98,FK1 5N
38.98,FK1 9S
38.98,FK10 1
38.98,FK10 2
38.98,FK10 3
38.98,FK10 4
38.98,FK11 7
38.98,FK12 5
38.98,FK13 6
38.98,FK14 7
38.98,FK15 0
38.98,FK15 9
38.98,FK16 6
71.73,FK17 8
71.73,FK18 8
71.73,FK19 8
38.98,FK2 0A
38.98,FK2 7E
38.98,FK2 8A
38.98,FK2 9B
71.73,FK20 8
71.73,FK21 8
38.98,FK3 0A
38.98,FK3 8H
38.98,FK3 9D
38.98,FK4 1R
38.98,FK4 2F
38.98,FK5 3N
38.98,FK5 4Q
38.98,FK6 5J
38.98,FK6 6P
38.98,FK7 0L
38.98,FK7 7H
38.98,FK7 8A
38.98,FK7 9J
38.98,FK8 1X
38.98,FK8 2A
38.98,FK8 3B
38.98,FK9 4Q
38.98,FK9 5H
38.98,G1 1RF
38.98,G1 2SD
38.98,G1 3HF
38.98,G1 4NN
38.98,G1 5QA
38.98,G11 5P
38.98,G11 6R
38.98,G11 7P
38.98,G11 9F
38.98,G12 0R
38.98,G12 8T
38.98,G12 9X
38.98,G13 1U
38.98,G13 2Y
38.98,G13 3Q
38.98,G13 4N
38.98,G14 0B
38.98,G14 9X
38.98,G15 6R
38.98,G15 7N
38.98,G15 8S
38.98,G2 1BA
38.98,G2 3LG
38.98,G2 4SQ
38.98,G2 5AP
38.98,G2 6XU
38.98,G2 7JD
38.98,G2 8LR
38.98,G20 0J
38.98,G20 6N
38.98,G20 7A
38.98,G20 8H
38.98,G20 9R
38.98,G21 1S
38.98,G21 2B
38.98,G21 3P
38.98,G21 4Q
38.98,G22 5A
38.98,G22 6J
38.98,G22 7B
38.98,G23 5N
38.98,G3 6JP
38.98,G3 7HW
38.98,G3 8SN
38.98,G31 1R
38.98,G31 2B
38.98,G31 3E
38.98,G31 4P
38.98,G31 5E
38.98,G32 0Q
38.98,G32 2A
38.98,G32 6P
38.98,G32 7X
38.98,G32 8L
38.98,G32 9L
38.98,G33 1J
38.98,G33 2P
38.98,G33 3J
38.98,G33 4T
38.98,G33 5P
38.98,G33 6B
38.98,G34 0D
38.98,G34 9B
38.98,G4 0UE
38.98,G4 9XF
38.98,G40 1A
38.98,G40 2J
38.98,G40 3Y
38.98,G40 4A
38.98,G41 1A
38.98,G41 2N
38.98,G41 3H
38.98,G41 4B
38.98,G41 5S
38.98,G42 0E
38.98,G42 7R
38.98,G42 8R
38.98,G42 9X
38.98,G43 1B
38.98,G43 2J
38.98,G44 3N
38.98,G44 4D
38.98,G44 5L
38.98,G44 9B
38.98,G45 0A
38.98,G45 9T
38.98,G46 6D
38.98,G46 7B
38.98,G46 8T
38.98,G46 9S
38.98,G5 0SH
38.98,G5 8EJ
38.98,G5 9RY
38.98,G51 1L
38.98,G51 2U
38.98,G51 3H
38.98,G51 4B
38.98,G52 1H
38.98,G52 2L
38.98,G52 3Q
38.98,G52 4H
38.98,G53 5X
38.98,G53 6H
38.98,G53 7R
38.98,G58 1Y
38.98,G58 2S
38.98,G60 5J
38.98,G61 1N
38.98,G61 2L
38.98,G61 3D
38.98,G61 4Q
38.98,G62 6N
38.98,G62 7D
38.98,G62 8D
38.98,G62 9B
38.98,G63 0R
38.98,G63 9B
38.98,G64 1S
38.98,G64 2A
38.98,G64 3P
38.98,G64 4A
38.98,G65 0S
38.98,G65 9B
38.98,G66 1P
38.98,G66 2R
38.98,G66 3S
38.98,G66 4H
38.98,G66 5A
38.98,G66 7H
38.98,G66 8E
38.98,G67 1L
38.98,G67 2J
38.98,G67 3A
38.98,G67 4H
38.98,G68 0F
38.98,G68 9F
38.98,G69 0E
38.98,G69 6R
38.98,G69 7P
38.98,G69 8B
38.98,G69 9B
38.98,G70 5T
38.98,G70 6A
38.98,G71 5Q
38.98,G71 6P
38.98,G71 7S
